year,annual_inflation_rate,cumulative_inflation_rate,avg_cpi_present,inflation_for_future,future_value
1947,,,22.488,6.92,24.044169599999996
1948,6.92,6.92,24.045,-0.98,23.809359
1949,-0.98,5.94,23.809166666666666,1.06,24.061543833333332
1950,1.06,7,24.0625,7.94,25.973062499999997
1951,7.94,14.940000000000001,25.973333333333333,2.28,26.56552533333333
1952,2.28,17.22,26.566666666666666,0.76,26.768573333333336
1953,0.76,17.98,26.768333333333334,0.36,26.864699333333334
1954,0.36,18.34,26.865000000000002,-0.26,26.795151
1955,-0.26,18.080000000000002,26.795833333333334,1.47,27.189732083333332
1956,1.47,19.55,27.190833333333334,3.39,28.112602583333334
1957,3.39,22.94,28.11333333333333,2.73,28.880827333333333
1958,2.73,25.67,28.880833333333335,0.93,29.149425083333337
1959,0.93,26.6,29.150000000000002,1.49,29.584335
1960,1.49,28.09,29.584999999999997,1.07,29.901559499999994
1961,1.07,29.16,29.901666666666671,1.18,30.254506333333339
1962,1.18,30.34,30.25333333333333,1.26,30.634525333333329
1963,1.26,31.6,30.633333333333336,1.32,31.03769333333334
1964,1.32,32.92,31.038333333333334,1.58,31.528739
1965,1.58,34.5,31.528333333333336,2.99,32.471030500000005
1966,2.99,37.49,32.470833333333339,2.78,33.373522500000007
1967,2.78,40.27,33.375,4.24,34.7901
1968,4.24,44.51,34.791666666666671,5.44,36.684333333333342
1969,5.44,49.95,36.683333333333337,5.88,38.840313333333334
1970,5.88,55.83,38.841666666666669,4.23,40.48466916666667
1971,4.23,60.06,40.483333333333327,3.27,41.807138333333327
1972,3.27,63.33,41.80833333333333,6.26,44.425534999999996
1973,6.26,69.59,44.425000000000004,11.01,49.316192500000007
1974,11.01,80.6,49.316666666666663,9.14,53.824209999999994
1975,9.14,89.74,53.825,5.77,56.93070250000001
1976,5.77,95.51,56.933333333333337,6.47,60.61692
1977,6.47,101.98,60.616666666666674,7.63,65.241718333333338
1978,7.63,109.61,65.24166666666666,11.25,72.581354166666657
1979,11.25,120.86,72.583333333333329,13.5,82.382083333333327
1980,13.5,134.36,82.383333333333326,10.38,90.934723333333338
1981,10.38,144.74,90.933333333333323,6.16,96.53482666666666
1982,6.16,150.9,96.533333333333331,3.16,99.583786666666668
1983,3.16,154.06,99.583333333333343,4.37,103.93512500000001
1984,4.37,158.43,103.93333333333334,3.53,107.60217999999999
1985,3.53,161.96,107.60000000000001,1.94,109.68744000000002
1986,1.94,163.9,109.69166666666666,3.58,113.61862833333333
1987,3.58,167.48,113.61666666666667,4.1,118.27495
1988,4.1,171.58,118.27499999999999,4.79,123.9403725
1989,4.79,176.37,123.94166666666668,5.42,130.65930500000002
1990,5.42,181.79,130.65833333333333,4.22,136.172115
1991,4.22,186.01,136.16666666666669,3.04,140.30613333333335
1992,3.04,189.05,140.30833333333331,2.97,144.47549083333331
1993,2.97,192.02,144.475,2.6,148.23135
1994,2.6,194.62,148.225,2.81,152.3901225
1995,2.81,197.43,152.38333333333335,2.94,156.86340333333337
1996,2.94,200.37,156.85833333333335,2.34,160.52881833333336
1997,2.34,202.71,160.525,1.55,163.01313750000003
1998,1.55,204.26,163.00833333333333,2.19,166.57821583333333
1999,2.19,206.45,166.58333333333331,3.37,172.19719166666667
2000,3.37,209.82,172.19166666666666,2.82,177.04747166666667
2001,2.82,212.64000000000001,177.04166666666669,1.6,179.87433333333337
2002,1.6,214.24,179.86666666666667,2.3,184.00359999999998
2003,2.3,216.54,184,2.67,188.9128
2004,2.67,219.21,188.90833333333333,3.37,195.27454416666669
2005,3.37,222.58,195.26666666666665,3.22,201.55425333333332
2006,3.22,225.8,201.55833333333334,2.87,207.3430575
2007,2.87,228.67,207.34416666666669,3.81,215.24397941666669
2008,3.81,232.48,215.25425,-0.32,214.5654364
2009,-0.32,232.16,214.56466666666665,1.64,218.0835272
2010,1.64,233.8,218.07616666666667,3.14,224.92375830000003
2011,3.14,236.94,224.923,2.07,229.57890609999998
2012,2.07,239.01,229.58608333333333,1.47,232.96099875833332
2013,1.47,240.48,232.95174999999998,1.62,236.72556834999997
2014,1.62,242.1,236.715,0.12,236.99905800000002
2015,0.12,242.22,237.00175000000002,1.27,240.011672225
2016,1.27,243.49,240.00541666666666,2.13,245.11753204166669
2017,2.13,245.62,245.121,2.44,251.10195240000002
2018,2.44,248.06,251.0995,1.81,255.64440095
2019,1.81,249.87,255.65258333333333,1.25,258.84824062499996
2020,1.25,251.12,258.85575,4.68,270.9701991
2021,4.68,255.8,270.96791666666667,7.99,292.61825320833333
2022,7.99,263.79,292.62541666666664,4.13,304.71084637499996
2023,4.13,267.92,304.70416666666671,2.95,313.69293958333338
2024,2.95,270.87,313.69783333333334,1.72,319.0934360666667
2025,1.72,272.59,319.086,,
